AreaCode,Borough,MethodCode,TravelMethod,Observation
E09000001,City of London,1,Work mainly at or from home,3602
E09000001,City of London,2,"Underground, metro, light rail, tram",349
E09000001,City of London,3,Train,95
E09000001,City of London,4,"Bus, minibus or coach",132
E09000001,City of London,5,Taxi,21
E09000001,City of London,6,"Motorcycle, scooter or moped",13
E09000001,City of London,7,Driving a car or van,124
E09000001,City of London,8,Passenger in a car or van,13
E09000001,City of London,9,Bicycle,191
E09000001,City of London,10,On foot,758
E09000001,City of London,11,Other method of travel to work,54
E09000002,Barking and Dagenham,1,Work mainly at or from home,19572
E09000002,Barking and Dagenham,2,"Underground, metro, light rail, tram",15301
E09000002,Barking and Dagenham,3,Train,8660
E09000002,Barking and Dagenham,4,"Bus, minibus or coach",9690
E09000002,Barking and Dagenham,5,Taxi,542
E09000002,Barking and Dagenham,6,"Motorcycle, scooter or moped",599
E09000002,Barking and Dagenham,7,Driving a car or van,30732
E09000002,Barking and Dagenham,8,Passenger in a car or van,2392
E09000002,Barking and Dagenham,9,Bicycle,1218
E09000002,Barking and Dagenham,10,On foot,4464
E09000002,Barking and Dagenham,11,Other method of travel to work,1416
E09000002,Barking and Dagenham,12,Not in employment or aged 15 years and under,124280
E09000003,Barnet,1,Work mainly at or from home,79628
E09000003,Barnet,2,"Underground, metro, light rail, tram",20758
E09000003,Barnet,3,Train,4690
E09000003,Barnet,4,"Bus, minibus or coach",15090
E09000003,Barnet,5,Taxi,872
E09000003,Barnet,6,"Motorcycle, scooter or moped",1197
E09000003,Barnet,7,Driving a car or van,46797
E09000003,Barnet,8,Passenger in a car or van,3169
E09000003,Barnet,9,Bicycle,2162
E09000003,Barnet,10,On foot,9361
E09000003,Barnet,11,Other method of travel to work,2451
E09000003,Barnet,12,Not in employment or aged 15 years and under,203170
E09000004,Bexley,1,Work mainly at or from home,40692
E09000004,Bexley,2,"Underground, metro, light rail, tram",2838
E09000004,Bexley,3,Train,12164
E09000004,Bexley,4,"Bus, minibus or coach",7763
E09000004,Bexley,5,Taxi,688
E09000004,Bexley,6,"Motorcycle, scooter or moped",767
E09000004,Bexley,7,Driving a car or van,42503
E09000004,Bexley,8,Passenger in a car or van,2919
E09000004,Bexley,9,Bicycle,995
E09000004,Bexley,10,On foot,5258
E09000004,Bexley,11,Other method of travel to work,1396
