AreaCode,AreaName,MethodCode,TravelMethod,Observation,PercentOfArea,cx,cy,pop,households,popDen,deprivation,deprivation4
E06000001,Hartlepool,1,Work mainly at or from home,6570,7.12,448118,530661,92334,40930,985.5,23668,85
E06000002,Middlesbrough,1,Work mainly at or from home,9478,6.59,450380,516653,143922,60262,2671.2,34855,128
E06000003,Redcar and Cleveland,1,Work mainly at or from home,10019,7.34,463383,518023,136536,61636,557.1,34446,106
E06000004,Stockton-on-Tees,1,Work mainly at or from home,18809,9.57,443484,518785,196594,83757,959.3,43260,132
E06000005,Darlington,1,Work mainly at or from home,11962,11.1,429038,517147,107807,48918,545.9,25142,76
E06000006,Halton,1,Work mainly at or from home,14548,11.32,352162,383230,128475,55951,1624.3,31766,103
E06000007,Warrington,1,Work mainly at or from home,32647,15.47,362665,389223,210969,90538,1168,43541,121
E06000008,Blackburn with Darwen,1,Work mainly at or from home,12388,8.01,369254,421850,154735,58767,1129.4,34580,188
E06000009,Blackpool,1,Work mainly at or from home,12013,8.52,331921,436188,141033,64789,4041.1,40020,302
E06000010,Kingston upon Hull,1,Work mainly at or from home,15534,5.82,509765,430588,267010,115472,3730.1,67916,301
E06000011,East Riding of Yorkshire,1,Work mainly at or from home,38568,11.27,499908,442365,342217,152066,142.4,74362,167
E06000012,North East Lincolnshire,1,Work mainly at or from home,9605,6.12,523749,406881,156966,69826,815,39125,135
E06000013,North Lincolnshire,1,Work mainly at or from home,13277,7.83,493268,411782,169674,73173,200.4,39442,89
E06000014,York,1,Work mainly at or from home,34159,16.84,461737,451799,202821,85459,745.8,39434,88
E06000015,Derby,1,Work mainly at or from home,27260,10.43,435851,335169,261354,105652,3349.5,57467,296
E06000016,Leicester,1,Work mainly at or from home,29530,8.01,459135,304861,368569,127387,5027.2,77991,639
E06000017,Rutland,1,Work mainly at or from home,6404,15.6,491121,307844,41050,16694,107.5,7019,8
E06000018,Nottingham,1,Work mainly at or from home,32915,10.17,455451,340739,323627,124745,4337.6,72864,366
E06000019,Herefordshire,1,Work mainly at or from home,22618,12.09,349035,245285,187039,82827,85.8,41884,149
E06000020,Telford and Wrekin,1,Work mainly at or from home,20430,11.01,367109,314837,185523,76510,639.1,41320,125
E06000021,Stoke-on-Trent,1,Work mainly at or from home,17161,6.64,389018,346716,258375,110399,2764.8,65032,263
E06000022,Bath and North East Somerset,1,Work mainly at or from home,34611,17.9,367057,162001,193406,79250,559.2,36380,114
E06000023,Bristol,1,Work mainly at or from home,92026,19.48,346546,172919,472462,191638,4308.1,95503,584
E06000024,North Somerset,1,Work mainly at or from home,33466,15.44,344429,165882,216727,94648,579.9,45893,190
E06000025,South Gloucestershire,1,Work mainly at or from home,52349,18.03,367431,183263,290423,118101,584.3,54400,145
E06000026,Plymouth,1,Work mainly at or from home,25656,9.69,249389,56735,264693,114558,3314.8,62457,282
E06000027,Torbay,1,Work mainly at or from home,12155,8.72,291417,61223,139324,62992,2215.6,36457,252
E06000030,Swindon,1,Work mainly at or from home,36022,15.43,417817,185857,233414,95862,1014.4,48611,178
E06000031,Peterborough,1,Work mainly at or from home,24747,11.47,518343,302621,215676,84533,628.1,46451,257
E06000032,Luton,1,Work mainly at or from home,21199,9.41,508515,222915,225259,78940,5196,46330,315
E06000033,Southend-on-Sea,1,Work mainly at or from home,27823,15.4,589363,185610,180685,78344,4335.6,42633,319
E06000034,Thurrock,1,Work mainly at or from home,21081,11.98,564863,181237,175997,66377,1074.2,36072,174
E06000035,Medway,1,Work mainly at or from home,34466,12.32,578769,172759,279771,111458,1444.2,59650,391
E06000036,Bracknell Forest,1,Work mainly at or from home,26512,21.28,487739,168395,124600,50248,1139.2,21921,79
E06000037,West Berkshire,1,Work mainly at or from home,33988,21.05,448409,172535,161447,66658,229.3,29337,85
E06000038,Reading,1,Work mainly at or from home,34950,20.06,470639,173186,174235,67683,4312.6,32999,195
E06000039,Slough,1,Work mainly at or from home,19976,12.6,498180,179746,158498,52423,4871.5,30240,168
E06000040,Windsor and Maidenhead,1,Work mainly at or from home,36565,23.82,490435,177040,153495,60932,781.1,25009,53
E06000041,Wokingham,1,Work mainly at or from home,45352,25.55,477672,170613,177499,69164,991.7,26646,60
E06000042,Milton Keynes,1,Work mainly at or from home,52198,18.18,486881,243629,287057,113102,930.1,55136,264
E06000043,Brighton and Hove,1,Work mainly at or from home,59495,21.47,531606,106526,277107,121402,3345.3,63279,563
E06000044,Portsmouth,1,Work mainly at or from home,24315,11.69,465010,102752,208002,86155,5149.8,45497,281
E06000045,Southampton,1,Work mainly at or from home,30282,12.17,442376,113232,248912,102291,4990.5,55890,412
E06000046,Isle of Wight,1,Work mainly at or from home,12922,9.2,449779,86461,140460,64775,370,36206,195
E06000047,County Durham,1,Work mainly at or from home,53014,10.15,410446,533389,522062,234761,234.5,130349,308
E06000049,Cheshire East,1,Work mainly at or from home,67827,17.01,376729,364874,398771,174856,341.9,79060,161
E06000050,Cheshire West and Chester,1,Work mainly at or from home,53184,14.89,350919,367257,357150,155156,388.2,74400,246
E06000051,Shropshire,1,Work mainly at or from home,41525,12.83,350424,304422,323608,139579,101.2,68707,143
E06000052,Cornwall,1,Work mainly at or from home,62832,11.02,199168,59975,570304,250535,160.9,135013,690
E06000053,Isles of Scilly,1,Work mainly at or from home,322,15.65,91546,11139,2058,942,125.9,464,0
E06000054,Wiltshire,1,Work mainly at or from home,85967,16.85,403934,155301,510336,215081,156.8,100195,225
E06000055,Bedford,1,Work mainly at or from home,28568,15.42,504237,255656,185228,74950,388.8,36246,232
